,Name,Mana Cost,CMC,Power,Toughness,Type,Creature,Non-Creature,Land,Text,Colour Identity,Rarity,Collector No.,Price,Creature_Advisor,Creature_Angel,Creature_Ape,Creature_Archer,Creature_Archon,Creature_Artifact,Creature_Artificer,Creature_Assassin,Creature_Avatar,Creature_Bard,Creature_Beast,Creature_Bird,Creature_Cat,Creature_Centaur,Creature_Citizen,Creature_Cleric,Creature_Clue,Creature_Construct,Creature_Crocodile,Creature_Cyclops,Creature_Demon,Creature_Detective,Creature_Devil,Creature_Dog,Creature_Dragon,Creature_Drake,Creature_Druid,Creature_Dryad,Creature_Elemental,Creature_Elephant,Creature_Elf,Creature_Elk,Creature_Faerie,Creature_Fish,Creature_Gargoyle,Creature_Giant,Creature_Goat,Creature_Goblin,Creature_God,Creature_Golem,Creature_Gorgon,Creature_Hellion,Creature_Homunculus,Creature_Horror,Creature_Human,Creature_Insect,Creature_Lammasu,Creature_Leech,Creature_Legendary,Creature_Merfolk,Creature_Mole,Creature_Octopus,Creature_Ogre,Creature_Ooze,Creature_Phoenix,Creature_Plant,Creature_Rogue,Creature_Scout,Creature_Shaman,Creature_Shapeshifter,Creature_Skeleton,Creature_Soldier,Creature_Sphinx,Creature_Spider,Creature_Spirit,Creature_Thopter,Creature_Thrull,Creature_Troll,Creature_Turtle,Creature_Unicorn,Creature_Vampire,Creature_Vedalken,Creature_Viashino,Creature_Wall,Creature_Warrior,Creature_Weird,Creature_Wizard,Creature_Wurm,Creature_Zombie,Key_Basic landcycling,Key_Cloak,Key_Collect evidence,Key_Crew,Key_Cycling,Key_Deathtouch,Key_Defender,Key_Disguise,Key_Double strike,Key_Enchant,Key_Equip,Key_Flash,Key_Flying,Key_Haste,Key_Hexproof,Key_Hexproof from,Key_Indestructible,Key_Investigate,Key_Landcycling,Key_Lifelink,Key_Menace,Key_Mill,Key_Prowess,Key_Reach,Key_Surveil,Key_Suspect,Key_Trample,Key_Typecycling,Key_Vigilance,Key_Ward,Black,White,Red,Green,Blue,Uncoloured
10,Defenestrated Phantom,{4}{W}{W},6.0,4,3,Creature — Spirit,1,0,0,"Flying
Disguise {4}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",['W'],common,11,"{'usd': '0.30', 'usd_foil': None, 'usd_etched': None, 'eur': '0.21', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
11,"Delney, Streetwise Lookout",{2}{W},3.0,2,2,Legendary Creature — Human Scout,1,0,0,"Creatures you control with power 2 or less can't be blocked by creatures with power 3 or greater.
If an ability of a creature you control with power 2 or less triggers, that ability triggers an additional time.",['W'],mythic,12,"{'usd': '18.03', 'usd_foil': '22.81', 'usd_etched': None, 'eur': '22.88', 'eur_foil': '37.35', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,Doorkeeper Thrull,{1}{W},2.0,1,2,Creature — Thrull,1,0,0,"Flash
Flying
Artifacts and creatures entering the battlefield don't cause abilities to trigger.",['W'],rare,13,"{'usd': '3.34', 'usd_foil': '6.31', 'usd_etched': None, 'eur': '7.15', 'eur_foil': '13.45', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
13,Due Diligence,{2}{W},3.0,,,Enchantment — Aura,0,1,0,"Enchant creature
When Due Diligence enters the battlefield, target creature you control other than enchanted creature gets +2/+2 and gains vigilance until end of turn.
Enchanted creature gets +2/+2 and has vigilance.",['W'],common,14,"{'usd': '0.24', 'usd_foil': '0.40', 'usd_etched': None, 'eur': '0.10', 'eur_foil': None, 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14,Essence of Antiquity,{3}{W}{W},5.0,1,10,Artifact Creature — Golem,1,0,0,"Disguise {2}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When Essence of Antiquity is turned face up, creatures you control gain hexproof until end of turn. Untap them.",['W'],uncommon,15,"{'usd': '0.24', 'usd_foil': '0.28', 'usd_etched': None, 'eur': '0.13', 'eur_foil': '0.22', 'tix': None}",0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15,Forum Familiar,{W},1.0,1,1,Creature — Cat,1,0,0,"Disguise {1}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)
When Forum Familiar is turned face up, return another target permanent you control to its owner's hand and put a +1/+1 counter on Forum Familiar.",['W'],uncommon,16,"{'usd': '0.27', 'usd_foil': '0.25', 'usd_etched': None, 'eur': '0.16', 'eur_foil': '0.18', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Griffnaut Tracker,{3}{W},4.0,3,2,Creature — Human Detective,1,0,0,"Flying
When Griffnaut Tracker enters the battlefield, exile up to two target cards from a single graveyard.",['W'],common,17,"{'usd': '0.49', 'usd_foil': None, 'usd_etched': None, 'eur': '0.10', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
17,Haazda Vigilante,{4}{W},5.0,4,4,Creature — Giant Soldier,1,0,0,"Whenever Haazda Vigilante enters the battlefield or attacks, put a +1/+1 counter on target creature you control with power 2 or less.",['W'],common,18,"{'usd': '0.28', 'usd_foil': None, 'usd_etched': None, 'eur': '0.14', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
18,Inside Source,{2}{W},3.0,1,1,Creature — Human Citizen,1,0,0,"When Inside Source enters the battlefield, create a 2/2 white and blue Detective creature token.
{3}, {T}: Target Detective you control gets +2/+0 and gains vigilance until end of turn. Activate only as a sorcery.",['W'],common,19,"{'usd': '0.63', 'usd_foil': '0.78', 'usd_etched': None, 'eur': '0.10', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
19,Karlov Watchdog,{3}{W},4.0,3,2,Creature — Dog,1,0,0,"Vigilance
Permanents your opponents control can't be turned face up during your turn.
Whenever you attack with three or more creatures, creatures you control get +1/+1 until end of turn.",['W'],uncommon,20,"{'usd': '0.40', 'usd_foil': '0.30', 'usd_etched': None, 'eur': '0.09', 'eur_foil': '0.24', 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
20,Krovod Haunch,{W},1.0,,,Artifact — Food Equipment,0,1,0,"Equipped creature gets +2/+0.
{2}, {T}, Sacrifice Krovod Haunch: You gain 3 life.
When Krovod Haunch is put into a graveyard from the battlefield, you may pay {1}{W}. If you do, create two 1/1 white Dog creature tokens.
Equip {2}",['W'],uncommon,21,"{'usd': '0.24', 'usd_foil': '0.25', 'usd_etched': None, 'eur': '0.10', 'eur_foil': '0.19', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
21,Make Your Move,{2}{W},3.0,,,Instant,0,1,0,"Destroy target artifact, enchantment, or creature with power 4 or greater.",['W'],common,22,"{'usd': '0.67', 'usd_foil': '0.39', 'usd_etched': None, 'eur': '0.14', 'eur_foil': '0.16', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22,Makeshift Binding,{2}{W},3.0,,,Enchantment,0,1,0,"When Makeshift Binding enters the battlefield, exile target creature an opponent controls until Makeshift Binding leaves the battlefield. You gain 2 life.",['W'],common,23,"{'usd': None, 'usd_foil': None, 'usd_etched': None, 'eur': '0.11', 'eur_foil': '0.20', 'tix': None}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,Marketwatch Phantom,{1}{W},2.0,2,2,Creature — Spirit Detective,1,0,0,"Whenever another creature with power 2 or less enters the battlefield under your control, Marketwatch Phantom gains flying until end of turn.",['W'],common,24,"{'usd': '0.26', 'usd_foil': None, 'usd_etched': None, 'eur': '0.29', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
24,Museum Nightwatch,{3}{W},4.0,3,2,Creature — Centaur Soldier,1,0,0,"When Museum Nightwatch dies, create a 2/2 white and blue Detective creature token.
Disguise {1}{W} (You may cast this card face down for {3} as a 2/2 creature with ward {2}. Turn it face up any time for its disguise cost.)",['W'],common,25,"{'usd': '0.33', 'usd_foil': None, 'usd_etched': None, 'eur': '0.14', 'eur_foil': None, 'tix': None}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
