,Name,Mana Cost,CMC,Power,Toughness,Type,Creature,Non-Creature,Land,Text,Colour Identity,Rarity,Collector No.,Price STD,Price Foil,Price Etched,Card Type,Creature_Advisor,Creature_Angel,Creature_Armadillo,Creature_Artifact,Creature_Artificer,Creature_Assassin,Creature_Badger,Creature_Bard,Creature_Bear,Creature_Beast,Creature_Beaver,Creature_Berserker,Creature_Bird,Creature_Brushwagg,Creature_Cat,Creature_Centaur,Creature_Citizen,Creature_Coyote,Creature_Crab,Creature_Demon,Creature_Djinn,Creature_Dog,Creature_Dragon,Creature_Drake,Creature_Druid,Creature_Dwarf,Creature_Elf,Creature_Faerie,Creature_Frog,Creature_Giant,Creature_Goblin,Creature_Golem,Creature_Gorgon,Creature_Griffin,Creature_Hippogriff,Creature_Homarid,Creature_Homunculus,Creature_Horror,Creature_Horse,Creature_Human,Creature_Hydra,Creature_Insect,Creature_Knight,Creature_Kor,Creature_Legendary,Creature_Lizard,Creature_Mercenary,Creature_Minotaur,Creature_Mount,Creature_Ninja,Creature_Noble,Creature_Ogre,Creature_Ox,Creature_Pegasus,Creature_Pirate,Creature_Plant,Creature_Porcupine,Creature_Possum,Creature_Rabbit,Creature_Ranger,Creature_Rat,Creature_Rhino,Creature_Rogue,Creature_Salamander,Creature_Scarecrow,Creature_Scorpion,Creature_Scout,Creature_Shaman,Creature_Shapeshifter,Creature_Shark,Creature_Sheep,Creature_Siren,Creature_Skeleton,Creature_Snake,Creature_Soldier,Creature_Specter,Creature_Sphinx,Creature_Spider,Creature_Spirit,Creature_Squirrel,Creature_Turtle,Creature_Unicorn,Creature_Vampire,Creature_Varmint,Creature_Warlock,Creature_Warrior,Creature_Wizard,Creature_Wolf,Creature_Wolverine,Creature_Wurm,Creature_Zombie,Key_Affinity,Key_Crew,Key_Deathtouch,Key_Defender,Key_Do Crime,Key_Enchant,Key_Equip,Key_First strike,Key_Flash,Key_Flying,Key_Haste,Key_Investigate,Key_Landfall,Key_Lifelink,Key_Menace,Key_Mill,Key_On Crime,Key_Outlaw,Key_Plot,Key_Protection,Key_Prowess,Key_Reach,Key_Saddle,Key_Scry,Key_Spree,Key_Surveil,Key_Trample,Key_Treasure,Key_Vigilance,Key_Ward,Black,White,Red,Green,Blue,Uncoloured,Colour
10,Final Showdown,{W},1.0,,,Instant,0,1,0,"Spree (Choose one or more additional costs.)
+ {1} — All creatures lose all abilities until end of turn.
+ {1} — Choose a creature you control. It gains indestructible until end of turn.
+ {3}{W}{W} — Destroy all creatures.",['W'],mythic,11,12.04,20.61,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,White
11,"Fortune, Loyal Steed",{2}{W},3.0,2,4,Legendary Creature — Beast Mount,1,0,0,"When Fortune, Loyal Steed enters the battlefield, scry 2.
Whenever Fortune attacks while saddled, at end of combat, exile it and up to one creature that saddled it this turn, then return those cards to the battlefield under their owner's control.
Saddle 1",['W'],rare,12,1.47,0.68,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,White
12,Frontier Seeker,{1}{W},2.0,2,1,Creature — Human Scout,1,0,0,"When Frontier Seeker enters the battlefield, look at the top five cards of your library. You may reveal a Mount creature card or a Plains card from among them and put it into your hand. Put the rest on the bottom of your library in a random order.",['W'],uncommon,13,0.39,0.28,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
13,Getaway Glamer,{W},1.0,,,Instant,0,1,0,"Spree (Choose one or more additional costs.)
+ {1} — Exile target nontoken creature. Return it to the battlefield under its owner's control at the beginning of the next end step.
+ {2} — Destroy target creature if no other creature has greater power.",['W'],uncommon,14,0.21,0.25,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,White
14,High Noon,{1}{W},2.0,,,Enchantment,0,1,0,"Each player can't cast more than one spell each turn.
{4}{R}, Sacrifice High Noon: It deals 5 damage to any target.","['R', 'W']",rare,15,1.15,6.43,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
15,Holy Cow,{2}{W},3.0,2,2,Creature — Ox Angel,1,0,0,"Flash
Flying
When Holy Cow enters the battlefield, you gain 2 life and scry 1. (Look at the top card of your library. You may put that card on the bottom.)",['W'],common,16,0.16,0.42,,Creature,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,White
16,Inventive Wingsmith,{2}{W},3.0,2,4,Creature — Dwarf Artificer,1,0,0,"At the beginning of your end step, if you haven't cast a spell from your hand this turn and Inventive Wingsmith doesn't have a flying counter on it, put a flying counter on it.",['W'],common,17,0.28,,,Creature,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
17,Lassoed by the Law,{3}{W},4.0,,,Enchantment,0,1,0,"When Lassoed by the Law enters the battlefield, exile target nonland permanent an opponent controls until Lassoed by the Law leaves the battlefield.
When Lassoed by the Law enters the battlefield, create a 1/1 red Mercenary creature token with ""{T}: Target creature you control gets +1/+0 until end of turn. Activate only as a sorcery.""",['W'],uncommon,18,0.22,0.19,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
18,Mystical Tether,{2}{W},3.0,,,Enchantment,0,1,0,"You may cast Mystical Tether as though it had flash if you pay {2} more to cast it.
When Mystical Tether enters the battlefield, exile target artifact or creature an opponent controls until Mystical Tether leaves the battlefield.",['W'],common,19,0.18,0.18,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
19,Nurturing Pixie,{W},1.0,1,1,Creature — Faerie Rogue,1,0,0,"Flying
When Nurturing Pixie enters the battlefield, return up to one target non-Faerie, nonland permanent you control to its owner's hand. If a permanent was returned this way, put a +1/+1 counter on Nurturing Pixie.",['W'],uncommon,20,0.20,0.68,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
20,Omenport Vigilante,{1}{W},2.0,2,2,Creature — Human Mercenary,1,0,0,"Omenport Vigilante has double strike as long as you've committed a crime this turn. (Targeting opponents, anything they control, and/or cards in their graveyards is a crime.)",['W'],uncommon,21,0.38,,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
21,One Last Job,{2}{W},3.0,,,Sorcery,0,1,0,"Spree (Choose one or more additional costs.)
+ {2} — Return target creature card from your graveyard to the battlefield.
+ {1} — Return target Mount or Vehicle card from your graveyard to the battlefield.
+ {1} — Return target Aura or Equipment card from your graveyard to the battlefield attached to a creature you control.",['W'],rare,22,1.38,1.78,,Non-Creature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,White
22,Outlaw Medic,{1}{W},2.0,1,3,Creature — Human Rogue,1,0,0,"Lifelink
When Outlaw Medic dies, draw a card.",['W'],common,23,0.19,0.24,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
23,Prairie Dog,{1}{W},2.0,2,2,Creature — Squirrel,1,0,0,"Lifelink
At the beginning of your end step, if you haven't cast a spell from your hand this turn, put a +1/+1 counter on Prairie Dog.
{4}{W}: Until end of turn, if you would put one or more +1/+1 counters on a creature you control, put that many plus one +1/+1 counters on it instead.",['W'],uncommon,24,0.30,0.24,,Creature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,White
